Altium Designer Pick and Place Locations
D:\DATN\Hardware\IClogicTester_V1\Project Outputs for IClogicTester_V1\Pick Place for IClogicTest_PCB.csv

========================================================================================================================
File Design Information:

Date:       26/03/25
Time:       15:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R4","1K","TopLayer","R0603","20.9105","66.0572","90","SMD Resistor 0603"
"R3","100","TopLayer","R0603","30.8927","72.3818","90","SMD Resistor 0603"
"R2","10K","TopLayer","R0603","17.3799","69.4354","180","SMD Resistor 0603"
"R1","10K","TopLayer","R0603","29.0004","72.3323","90","SMD Resistor 0603"
"M27","Si2301","TopLayer","SOT23","114.5128","8.3902","270","SOT-23"
"M26","Si2301","TopLayer","SOT23","99.9786","82.4783","90","SOT-23"
"M25","Si2301","TopLayer","SOT23","109.5128","8.3902","270","SOT-23"
"M24","Si2301","TopLayer","SOT23","105.3848","82.4783","90","SOT-23"
"M23","Si2301","TopLayer","SOT23","103.7065","8.3904","270","SOT-23"
"M22","Si2301","TopLayer","SOT23","110.7848","82.4783","90","SOT-23"
"M21","Si2301","TopLayer","SOT23","98.3128","8.3902","270","SOT-23"
"M20","Si2301","TopLayer","SOT23","116.1848","82.4783","90","SOT-23"
"M7","SI2302","TopLayer","SOT23","82.4069","64.4778","0","SOT-23"
"M6","SI2302","TopLayer","SOT23","88.0569","64.4778","0","SOT-23"
"M5","Si2302","TopLayer","SOT23","26.0540","62.8060","0","SOT-23"
"M4","Si2302","TopLayer","SOT23","22.1170","62.8060","0","SOT-23"
"M3","Si2301","TopLayer","SOT23","26.2572","72.2548","90","SOT-23"
"M2","Si2302","TopLayer","SOT23","19.5000","55.5000","90","SOT-23"
"M1","APM4015P","TopLayer","TO252-3","16.4754","63.9544","180","SOT-23"
"L1","10uH","TopLayer","L0630","29.6984","43.0829","0","HIGH POWER INDUCTOR 1040"
"J2","KF128-4P","TopLayer","KF128-5.08-4P","5.6578","61.1550","270",""
"IC7","ESP32-WROOM-32E","TopLayer","ESP32-WROOM-32E","64.1650","71.4450","0","Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated"
"IC6","LD1117","TopLayer","SOT223","34.9100","63.8000","270",""
"IC5","MCP2551","TopLayer","SOIC-8","85.2319","72.0328","90",""
"IC1","TPS5430","TopLayer","SOIC-8E","29.2000","52.2000","180","Buck Step-Down Converter
(5.5V to 36V Input, 3A)"
"H5","MalePin_1x7","TopLayer","MALEPIN_1x7","51.5683","67.4669","90",""
"H4","MalePin_1x2","TopLayer","MALEPIN_1x2","89.0460","79.9256","270",""
"D6","SS54F","TopLayer","SMAF","46.6645","60.2199","180",""
"D2","SS54F","TopLayer","SMAF","22.7283","47.9597","0",""
"D1","Z3v3","TopLayer","SOD123","23.1330","67.4999","180",""
"C46","100nF","TopLayer","C0603","96.0848","61.8954","0",""
"C45","100nF","TopLayer","C0603","135.1851","60.6851","90",""
"C44","100nF","TopLayer","C0603","106.6482","61.7265","180",""
"C43","100nF","TopLayer","C0603","75.7000","9.0000","90",""
"C42","100nF","TopLayer","C0603","74.5000","40.9000","0",""
"C41","100nF","TopLayer","C0603","87.4712","37.9140","90",""
"C40","100nF","TopLayer","C0603","61.7918","40.6734","0",""
"C39","100nF","TopLayer","C0603","134.3342","52.3539","180",""
"C38","100nF","TopLayer","C0603","108.2992","14.8254","0",""
"C37","100nF","TopLayer","C0603","93.6128","17.4844","270",""
"C36","100nF","TopLayer","C0603","42.2000","75.1000","90",""
"C35","100nF","TopLayer","C0603","42.2000","79.0250","270",""
"C32","10uF","TopLayer","C0603","42.2128","62.8949","90",""
"C31","100nF","TopLayer","C0603","40.1710","62.8830","90",""
"C30","100nF","TopLayer","C0603","35.1750","59.3000","180",""
"C29","10uF","TopLayer","C0603","35.1750","57.3950","180",""
"C28","10uF","TopLayer","C0603","85.2319","67.1328","0",""
"C10","10uF/50V","TopLayer","C0805","20.6220","51.1000","90",""
"C9","10uF/50V","TopLayer","C0805","18.8210","51.0780","90",""
"C8","10uF/50V","TopLayer","C0805","22.4000","51.1000","90",""
"C7","10uF/50V","TopLayer","C0805","24.1780","51.1000","90",""
"C6","10uF/50V","TopLayer","C0805","34.9313","42.1177","90",""
"C5","10uF/50V","TopLayer","C0805","36.6458","42.0923","90",""
"C4","100nF","TopLayer","C0805","27.2478","47.9597","180",""
"C3","100nF","TopLayer","C0603","28.9000","66.7000","270",""
"C2","100nF/50V","TopLayer","C0805","13.3004","54.8304","0",""
"C1","10uF/50V","TopLayer","C0805","13.3004","56.6084","0",""
"BT4","SPST_DIP","TopLayer","SPST_BUTTON_2DIP","37.6000","73.0000","0",""
"BT3","SPST_DIP","TopLayer","SPST_BUTTON_2DIP","37.4000","80.7000","0",""
